fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
Eclipse Fanny Pack Sale Benefitting THON,Item Sale,Eclipse ,2020,2/13/2024,2/13/2024,,Approved,60,93,Special Interest,,
DASH Candy Grams Benefitting THON,Item Sale,DASH ,543,2/14/2024,2/14/2024,HUB Robeson Center:     ,Canceled,40,,Special Interest,,
Bouquets Benefitting THON,Item Sale,Omega Phi Alpha OphiA,48,2/14/2024,2/14/2024,HUB:     ,Approved,100,386,Greek,,
Valentine's Day Serenade Benefitting THON,Item Sale,Hospitality - Dancer Meals 1/2,386,2/14/2024,2/14/2024,Any building on campus running meetings on 2/14:,Approved,100,,joint,,
DASH Valentine's Roses Benefitting THON,Item Sale,DASH ,543,2/14/2024,2/14/2024,HUB Robeson Center:     ,Approved,40,100,Special Interest,,
Club Cross Country Candygrams Benefitting THON,Item Sale,Club Cross Country XC,305,2/14/2024,2/14/2024,Rec Hall:     ,Approved,50,72,General,,
UPUA General Assembly candy gram delivery Benefitting THON,Item Sale,University Park Undergraduate Association UPUA,1202,2/14/2024,2/14/2024,UPUA office in hub:     ,Approved,20,,General,,
Alpha Phi Omega Date With a Book Benefitting THON,Item Sale,Alpha Phi Omega ,54,2/14/2024,2/14/2024,Hub Table #1:,Action Needed,100,,General,,
Hitz Different R&R Committee X Ribbon Sale Benefitting THON,Item Sale,Security Team 7,2529,2/14/2024,2/14/2024,HUB:     ,Approved,50,67,joint,,
Springfield Ten Thousand Villages Benefitting THON,Item Sale,Springfield ,42,2/14/2024,2/14/2024,Hub Roberson Center University Park Pa 16803:,Canceled,200,,Special Interest,,
Trilogy and Phi Sigma Kappa Pasta Dinner Benefitting THON,Item Sale,Phi Sigma Kappa PSK & Trilogy ,72 & 10,2/15/2024,2/15/2024,Phi Sigma Kappa: 501 S ALLEN ST  STATE COLLEGE PA 16801,Approved,300,,General,,
Kappa Kappa Gamma x Delta Chi Merchandise Benefitting THON,Merchandise Sale,Kappa Kappa Gamma,22,7/26/2023,8/8/2023,,Approved,200,,Greek,,
Sweatshirt Fundraiser Benefitting THON,Merchandise Sale,Nittany Dance Project NDP & Theta Chi,102 & 2876,7/31/2023,8/10/2023,,Denied,1000,,Greek,,
Sigma Kappa and Phi Gamma Delta Summer Merch Sale Benefitting THON,Merchandise Sale,Phi Gamma Delta & Sigma Kappa,35 & 19,8/10/2023,8/23/2023,,Approved,200,691,Greek,,
DPhiE Sweatshirt Fundraiser Benefitting THON,Merchandise Sale,Delta Phi Epsilon DPhiE,2090,8/26/2023,8/27/2023,,Canceled,180,,Greek,,
World Campus 2024 Theme Merchandise Benefitting THON,Merchandise Sale,World Campus,1318,8/28/2023,9/10/2023,,Canceled,250,,Commonwealth,,
Sweatshirt Fundraiser Benefitting THON,Merchandise Sale,Nittany Dance Project NDP & Theta Chi,102 & 2876,8/31/2023,9/13/2023,,Approved,1000,315,Greek,,
Club Swimming Merchandise Benefitting THON,Merchandise Sale,Club Swimming ,302,9/11/2023,9/24/2023,Online:     ,Approved,150,334,General,,
Merchandise Sale x Everyday Benefitting THON,Merchandise Sale,Everyday Benefitting THON Everyday,1194,9/11/2023,9/24/2023,,Approved,100,167.5,Special Interest,,
Pi Beta Phi Connections Fundraiser Benefitting THON,Merchandise Sale,Pi Beta Phi Pi Phi,18,9/20/2023,9/20/2023,Connections: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,200,0,Greek,,
Atlas Yearly Tee Benefitting THON,Merchandise Sale,Atlas ,312,9/20/2023,9/27/2023,,Approved,2000,1740,Special Interest,,
SDT x Lock Boutique Benefitting THON,Merchandise Sale,Phi Kappa Theta & Sigma Delta Tau,24 & 49,9/22/2023,9/22/2023,Lock Boutique: 216 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,300,Greek,,
Boxing and wrestling club  merchandise Benefitting THON,Merchandise Sale,Boxing Club  & Club Wrestling ,1546 & 1769,9/26/2023,10/25/2023,,Approved,400,615,General,,
Professional Headshots Benefitting THON,Event/Concert,Alicia Armstrong and Chelsea Birkel (2024),3220,1/3/2024,1/3/2024,Mindowaskin Park:     ,Approved,100,,Independent Couple,,
Nittany Lion Chase Merchandise Benefitting THON,Merchandise Sale,Club Crew ,201,9/30/2023,9/30/2023,,Approved,500,774,General,,
Penn State Brandywine Benefitting THON,Merchandise Sale,Brandywine,51,9/30/2023,9/30/2023,25 Yearsley Mill Road:,Denied,500,,Commonwealth,,
Penn State Brandywine Benefitting THON,Merchandise Sale,Brandywine,51,9/30/2023,9/30/2023,Penn State Brandywine:     ,Approved,500,2160,Commonwealth,,
Ruck for a Cure Shirts X Kaizen Benefitting THON,Merchandise Sale,Kaizen  & Operation Blue and Gold OBG,133 & 1896,10/2/2023,10/6/2023,,Approved,825,670.36,General,,
Sapphire Fall Merchandise Benefitting THON,Merchandise Sale,Sapphire Leadership Program ,1543,10/4/2023,10/11/2023,,Approved,300,350,General,,
Thrifting fundraiser for fashion society at Penn-state Benefitting THON,Merchandise Sale,Fashion Society at Penn State FSPS,2593,10/6/2023,10/6/2023,HUB:     ,Canceled,400,,General,,
Eclipse Tie-Dye Benefitting THON,Merchandise Sale,Eclipse ,2020,10/8/2023,10/8/2023,Board Member Justin's place: 212 S BARNARD ST  STATE COLLEGE PA 16801,Approved,500,480,Special Interest,,
Philly Sports Gear Auction Benefitting THON,Item Auction,Maeve Riley and Sophie Sclafani (2024),3138,1/3/2024,1/5/2024,,Approved,100,146,Independent Couple,,
Merchandise Benefitting THON,Merchandise Sale,LimitlesS ,203,10/10/2023,10/16/2023,,Approved,100,180,General,,
PSET PGM Pumpkin Carving Benefitting THON,Merchandise Sale,English Equestrian Club  & Professional Golf Management,314 & 381,10/15/2023,10/15/2023,House 1: 502 S PUGH ST  STATE COLLEGE PA 16801,Approved,100,80,General,,
Sigma Kappa Fall Hoodie Benefitting THON,Merchandise Sale,Sigma Kappa,35,10/15/2023,10/28/2023,,Approved,200,1085,Greek,,
BBAF x Happy Valley Buttons Benefitting THON,Merchandise Sale,Bodybuilding and Fitness BBAF,536,10/17/2023,10/19/2023,,Approved,200,140,General,,
Family Relations Hoodies Benefitting THON,Merchandise Sale,THON Family Relations,1003,10/18/2023,10/31/2023,,Approved,130,75,joint,,
Double Good Popcorn Sale Benefitting THON,Item Sale,Sam Phillips and Josalyn Scarberry (2024),3143,1/3/2024,1/7/2024,,Approved,100,,Independent Couple,,
Penn State Equestrian Team and Professional Golf Management 5K T-Shirt Benefitting THON,Merchandise Sale,English Equestrian Club  & Professional Golf Management,314 & 381,10/22/2023,10/22/2023,PSU:     ,Approved,100,,General,,
Phi Sigma Sigma Fall Sweatshirt Sale Benefitting THON,Merchandise Sale,Phi Sigma Sigma Phi Sig,294,10/23/2023,11/1/2023,,Approved,800,,Greek,,
Delta Zeta x Connections Benefitting THON,Merchandise Sale,Delta Zeta DZ & Sigma Pi,39 & 36,10/25/2023,10/25/2023,Connections Clothing: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,300,0,Greek,,
Stuckeman Halloween Bash - AIAS Benefitting THON,Merchandise Sale,American Institute of Architecture Students AIAS,389,10/25/2023,10/25/2023,Stuckeman Family Building Lawn:     ,Approved,75,50,General,,
Alpha Zeta Pumpkin Painting Benefitting THON,Merchandise Sale,Alpha Zeta,191,10/25/2023,10/25/2023,Alpha Zeta:     ,Approved,100,183,Greek,,
Omega Phi Alpha and Omega Chi Sigma Sweatshirt/Crewneck Benefitting THON,Merchandise Sale,Omega Chi Sigma & Omega Phi Alpha OphiA,48 & 2440,10/26/2023,10/31/2023,,Canceled,150,,Greek,,
Thrifting fundraiser for fashion society at Penn-state Benefitting THON,Merchandise Sale,Fashion Society at Penn State FSPS,2593,10/27/2023,10/27/2023,HUB: 1 Pollock road  university park PA 16802,Canceled,400,,General,,
FIJI Golf Tournament Hats Benefitting THON,Merchandise Sale,Phi Gamma Delta,19,10/29/2023,11/8/2023,,Canceled,250,,Greek,,
Women in Business Merchandise Benefitting THON,Merchandise Sale,Women In Business WIB,151,10/30/2023,11/12/2023,,Approved,500,750,General,,
Omega Phi Alpha and Omega Chi Sigma Sweatshirt/Crewneck Benefitting THON,Merchandise Sale,Omega Chi Sigma & Omega Phi Alpha OphiA,48 & 2440,10/31/2023,11/3/2023,,Approved,200,453,Greek,,
PSFHC x PSBC Merch Fundraiser Benefitting THON,Merchandise Sale,Baseball Club Club Baseball & Club Field Hockey PSFHC,52 & 1780,10/31/2023,11/8/2023,Field Hockey Complex:     ,Approved,300,631.62,General,,
OPP Sweatshirt Benefitting THON,Merchandise Sale,THON OPPerations,1007,11/2/2023,11/16/2023,"Committee Member Meetings (Thomas Building, Sackett Building, Willard Building, Hammond Building):     ",Approved,1500,2362,joint,,
Ellington Ridge Country Club Golf Simulation Fundraiser - Devon Bertram and Katelin Johndrow (2024) Benefitting THON,Business Sponsorship,Devon Bertram and Katelin Johndrow (2024),3069,1/4/2024,1/4/2024,Ellington Ridge Country Club: 56 ABBOTT RD  ELLINGTON CT 06029,Approved,400,1354,Independent Couple,,
Phi Sigma Sigma Fall Sweatshirt Sale Benefitting THON,Merchandise Sale,Phi Sigma Sigma Phi Sig,294,11/8/2023,11/8/2023,,Approved,500,0,Greek,,
Pie-in-the-Face & Tie Dye x Circle K Benefitting THON,Merchandise Sale,Circle K ,84,11/12/2023,11/12/2023,HUB Lawn:     ,Approved,49.92,55,General,,
Thrifting fundraiser for fashion society at Penn-state Benefitting THON,Merchandise Sale,Fashion Society at Penn State FSPS,2593,11/14/2023,11/14/2023,HUB:     ,Canceled,100,,General,,
Delta Gamma x Delta Upsilon Merchandise Benefitting THON,Merchandise Sale,Delta Gamma & Delta Upsilon International Fraternity Delta Upsilon,1544 & 37,11/23/2023,11/29/2023,,Denied,300,,Greek,,
Brandywine Sweatshirt and Hoodie Sale Benefitting THON,Merchandise Sale,Brandywine,51,11/27/2023,12/4/2023,"Penn State Brandywine, Student Union Building:     ",Approved,500,1624,Commonwealth,,
Alpha Kappa Psi Merch Sale Benefitting THON,Merchandise Sale,Alpha Kappa Psi ,61,11/27/2023,11/27/2023,,Approved,300,436,General,,
KINGS Benefitting THON,Item Sale,Mackenzie Lee and Cade Helfrich (2024),3133,1/4/2024,1/4/2024,Kings Food Markets: 255 S LIVINGSTON AVE  LIVINGSTON NJ 07039,Canceled,200,,Independent Couple,,
Navigators Merch Sale Benefitting THON,Merchandise Sale,Navigators at Penn State ,313,11/27/2023,12/10/2023,,Approved,150,51.5,General,,
OPP Fanny Packs Benefitting THON,Merchandise Sale,OPPerations - Inter-Committee Events,396,11/27/2023,12/6/2023,,Canceled,200,,joint,,
Special Events Sticker Sale Benefitting THON,Merchandise Sale,THON Special Events,1011,11/27/2023,12/6/2023,,Approved,100,75,joint,,
SDT Kendra Scott Benefitting THON,Merchandise Sale,Sigma Delta Tau,24,11/28/2023,11/30/2023,,Approved,500,,Greek,,
Kappa Alpha Theta x Connections Benefitting THON,Merchandise Sale,Kappa Alpha Theta,14,11/30/2023,11/30/2023,Connections: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,75,0,Greek,,
PJ's in Bellingham Benefitting THON,Restaurant Fundraiser,Danil Kurtz and Kayla Martinis (2024),3158,1/4/2024,1/4/2024,PJs Bar and Grill: 191 MECHANIC ST  BELLINGHAM MA 02019,Approved,500,0,Independent Couple,,
SDT Senior Shirts Benefitting THON,Merchandise Sale,Sigma Delta Tau,24,12/4/2023,12/4/2023,,Approved,100,,Greek,,
Men's Club Lacrosse Team Store Benefitting THON,Merchandise Sale,Men's Lacrosse Club ,141,12/13/2023,12/20/2023,,Approved,500,,General,,
All HOS Hoodie Benefitting THON,Merchandise Sale,Hospitality - Admin/Donor Relations & THON Hospitality,1005 & 387,12/13/2023,12/22/2023,,Canceled,100,,joint,,
PSU figure skating Benefitting THON,Merchandise Sale,Figure Skating,1334,12/15/2023,12/28/2023,,Canceled,15,,General,,
Panara Fundraiser Benefitting THON,Restaurant Fundraiser,Haley McKeever and Jacob Rotondo (2024),3064,1/4/2024,1/4/2024,Panara Bread: 73 OLD DUBLIN PIKE  DOYLESTOWN PA 18901,Approved,50,,Independent Couple,,
all HOS Crewneck Benefitting THON,Merchandise Sale,Hospitality - Admin/Donor Relations & THON Hospitality,1005 & 387,12/20/2023,12/26/2023,,Approved,500,180,joint,,
all HOS Fuel the Fight shirt Benefitting THON,Merchandise Sale,Hospitality - Admin/Donor Relations & THON Hospitality,1005 & 387,12/24/2023,1/6/2024,,Approved,100,120,joint,,
PSSC Merch Fundraiser Benefitting THON,Merchandise Sale,Snowboard ,1312,1/1/2024,1/3/2024,,Approved,100,0,General,,
College of EMS Merchandise Sale Benefitting THON,Merchandise Sale,Earth and Mineral Sciences Student Council EMS StuCo,105,1/2/2024,1/15/2024,,Approved,100,104,General,,
P.J. Whelihan's x Brooke & McKenna Benefitting THON,Restaurant Fundraiser,Brooke Rockovits and McKenna Byrne (2024),3112,1/4/2024,1/4/2024,PJ Whelihan's Pub and Restaurant: 3395 HIGH POINT BLVD  BETHLEHEM PA 18017,Approved,1000,0,Independent Couple,,
Club Powerlifting THON Weekend Gear Benefitting THON,Merchandise Sale,Club Powerlifting ,507,1/7/2024,1/21/2024,,Approved,100,68.82,General,,
DIY homemade record posters sale Benefitting THON,Item Sale,Ian Cox and Sara Almasy (2024),3174,1/5/2024,1/18/2024,,Approved,40,,Independent Couple,,
Club Cross Country Miles for Smiles Shirts Benefitting THON,Merchandise Sale,Club Cross Country XC,305,1/7/2024,1/15/2024,Rec Hall:     ,Approved,200,40,General,,
Volé Crewneck Sale Benefitting THON,Merchandise Sale,Volé,126,1/8/2024,1/21/2024,,Approved,100,406,General,,
DPhiE Sweatshirt Fundraiser Benefitting THON,Merchandise Sale,Delta Phi Epsilon DPhiE,2090,1/8/2024,1/15/2024,,Canceled,370,,Greek,,
DPhiE Football Sweatshirt Benefitting THON,Merchandise Sale,Delta Phi Epsilon DPhiE,2090,1/8/2024,1/15/2024,,Canceled,265,,Greek,,
Sigma Sigma Sigma x Zeta Beta Connections Fundraiser Benefitting THON,Merchandise Sale,Sigma Sigma Sigma Tri Sigma & Zeta Beta Tau ZBT,33 & 1476,1/9/2024,1/9/2024,Connections: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,100,0,Greek,,
Boxing and wrestling merch Benefitting THON,Merchandise Sale,Boxing Club  & Club Wrestling ,1546 & 1769,1/10/2024,1/12/2024,Collegiate pride:     ,Approved,200,200,General,,
OPP Stickers Benefitting THON,Merchandise Sale,OPPerations - Inter-Committee Events,396,1/11/2024,1/18/2024,,Approved,99.98,76,joint,,
Club tennis hoodies Benefitting THON,Merchandise Sale,Club Tennis ,1048,1/12/2024,1/17/2024,,Approved,100,218,General,,
"Sticker, Button, Ribbon Sale Benefitting THON",Merchandise Sale,Ian Cox and Sara Almasy (2024),3174,1/5/2024,1/18/2024,,Approved,40,63,Independent Couple,,
Alpha Kappa Psi Sweatshirts Benefitting THON,Merchandise Sale,Alpha Kappa Psi ,61,1/15/2024,1/28/2024,,Denied,200,,General,,
Maggie and Hannah Ribboning Benefitting THON,Coin Collection,Hannah Feldman and Maggie O'Neill (2024),3129,1/6/2024,1/6/2024,The Paper Unicorn: 2 S MAIN ST  DOYLESTOWN PA 18901,Approved,100,,Independent Couple,,
PLL Hoodie Sale Benefitting THON,Merchandise Sale,Lyrical Line Dance Company PLL ,79,1/15/2024,1/21/2024,,Approved,100,284,General,,
PLL T-Shirt Sale Benefitting THON,Merchandise Sale,Lyrical Line Dance Company PLL ,79,1/15/2024,1/21/2024,,Approved,50,128.44,General,,
Club Cheer and Delta Sigma Phi Merch Benefitting THON,Merchandise Sale,Cheerleading Club Club Cheer & Delta Sigma Phi,13 & 321,1/16/2024,1/18/2024,White Building:     ,Canceled,600,,Greek,,
Ribbon Sale Benefitting THON,Item Sale,Riley Neglia and Kari Jim (2024),3137,1/6/2024,1/6/2024,17 Maple Ave:,Canceled,75,,Independent Couple,,
Finals Week Cookies Fundraiser Benefitting THON,Bake Sale,Alicia Armstrong and Chelsea Birkel (2024),3220,1/7/2024,1/7/2024,,Approved,70,30,Independent Couple,,
R&R Crewneck and Sticker Fundraiser Sale Benefitting THON,Merchandise Sale,THON R&R Fundraising Safety,2245,1/22/2024,2/1/2024,,Canceled,100,,joint,,
R&R Crewneck and Sticker Fundraiser Sale Benefitting THON,Merchandise Sale,THON R&R Fundraising Safety,2245,1/22/2024,2/1/2024,,Approved,100,734,joint,,
PSFHC x PSBC Merch Fundraiser Benefitting THON,Merchandise Sale,Baseball Club Club Baseball & Club Field Hockey PSFHC,52 & 1780,1/22/2024,1/31/2024,Julia Romano's House: 827 OLD BOALSBURG RD  STATE COLLEGE PA 16801,Denied,200,,General,,
Plato's Closet Impact Benefitting THON,Merchandise Sale,Impact ,1751,1/22/2024,1/22/2024,Plato's Closet: 1526 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,500,57,Special Interest,,
Sigma Kappa & FIJI Sweatpants Sale Benefitting THON,Merchandise Sale,Phi Gamma Delta & Sigma Kappa,35 & 19,1/23/2024,2/5/2024,,Approved,300,490,Greek,,
Circle K Shirts Benefitting THON,Merchandise Sale,Circle K ,84,1/24/2024,1/31/2024,Willard Building:     ,Denied,60,,General,,
DASH Merchandise Sale 2024 Benefitting THON,Merchandise Sale,DASH ,543,1/26/2024,1/26/2024,,Approved,40,107,Special Interest,,
T-Shirt Sale Benefitting THON,Merchandise Sale,Hazleton,74,1/27/2024,1/27/2024,Penn State Hazleton Gymnasium:     ,Approved,800,630.05,Commonwealth,,
Penn State Equestrian Team and Professional Golf Management Short-sleeve Benefitting THON,Merchandise Sale,English Equestrian Club  & Professional Golf Management,314 & 381,1/29/2024,1/29/2024,Penn State University:     ,Canceled,100,,General,,
Penn State Equestrian Team and Professional Golf Management Crewneck Benefitting THON,Merchandise Sale,English Equestrian Club  & Professional Golf Management,314 & 381,1/29/2024,1/29/2024,Penn State University:     ,Approved,100,,General,,
Penn State Equestrian Team and Professional Golf Management Hoodie Benefitting THON,Merchandise Sale,English Equestrian Club  & Professional Golf Management,314 & 381,1/29/2024,1/29/2024,Penn State University:     ,Canceled,100,,General,,
Penn State Equestrian Team and Professional Golf Management Sweatpants Benefitting THON,Merchandise Sale,English Equestrian Club  & Professional Golf Management,314 & 381,1/29/2024,1/29/2024,Penn State University:     ,Approved,100,,General,,
Penn State Equestrian Team and Professional Golf Management Hat Benefitting THON,Merchandise Sale,English Equestrian Club  & Professional Golf Management,314 & 381,1/29/2024,1/29/2024,Penn State University:     ,Approved,100,,General,,
Phi Gamma Nu Button Sale Benefitting THON,Merchandise Sale,Phi Gamma Nu ,29,1/29/2024,2/2/2024,Online:     ,Approved,100,204,General,,
World Campus 2024 Theme Merchandise Benefitting THON,Merchandise Sale,World Campus,1318,1/29/2024,2/2/2024,,Approved,100,,Commonwealth,,
Alpha Xi Delta Merchandise Clothing Drive Benefitting THON,Merchandise Sale,Alpha Xi Delta AXID,31,1/31/2024,1/31/2024,Business Building 004:,Approved,500,703,Greek,,
Lionettes Sweatpants Benefitting THON,Merchandise Sale,Dance Team (Lionettes),204,1/31/2024,2/2/2024,,Approved,50,53.77,General,,
Gill Sans MT Hats Benefitting THON,Merchandise Sale,Fundraising Development 6,3192,1/31/2024,2/1/2024,,Canceled,400,,joint,,
PSSC Item Sale Benefitting THON,Merchandise Sale,Snowboard ,1312,2/5/2024,2/5/2024,,Approved,100,198,General,,
OPP Legacy Shirt Benefitting THON,Merchandise Sale,THON OPPerations,1007,2/5/2024,2/14/2024,,Approved,400,110,joint,,
Pi Beta Phi and Sigma Phi Epsilon Connections Fundraiser Benefitting THON,Merchandise Sale,Pi Beta Phi Pi Phi & Sigma Phi Epsilon,18 & 11,2/6/2024,2/6/2024,Connections: 130 S ALLEN ST  STATE COLLEGE PA 16801,Approved,400,0,Greek,,
Sapphire Spring Merchandise Benefitting THON,Merchandise Sale,Sapphire Leadership Program ,1543,2/11/2024,2/14/2024,,Approved,150,190,General,,
PRSSA Pie A Comm Professor Benefitting THON,No Shave/Buzz Cut,Public Relations Student Society of America PRSSA,63,9/13/2023,9/13/2023,HUB Robeson Center:     ,Approved,150,89,General,,
PSBC JCuts Benefitting THON,No Shave/Buzz Cut,Baseball Club Club Baseball,1780,10/16/2023,10/23/2023,JCuts (Brian Joslin's) house: 225 I ALY  STATE COLLEGE PA 16801,Approved,100,100,General,,
Men's Club Lacrosse No Shave November Benefitting THON,No Shave/Buzz Cut,Men's Lacrosse Club ,141,11/1/2023,11/14/2023,,Approved,50,,General,,
No Shave November Fundraiser Benefitting THON,No Shave/Buzz Cut,Omega Chi Sigma & Omega Phi Alpha OphiA,48 & 2440,11/1/2023,11/13/2023,,Approved,120,30,Greek,,
Operation Blue and Gold's No Shave November Benefitting THON,No Shave/Buzz Cut,Kaizen  & Operation Blue and Gold OBG,133 & 1896,11/1/2023,11/10/2023,ONLINE:     ,Approved,75,,General,,
THON Hospitality's HOStaches Benefitting THON,No Shave/Buzz Cut,THON Hospitality,1005,11/1/2023,11/13/2023,,Approved,250,330,joint,,
